sample_name	alt	altitude	anonymized_name	cage	collection_timestamp	description	dna_extracted	elevation	empo_1	empo_2	empo_3	env_biome	env_feature	env_material	env_package	geo_loc_name	hepatic_tg	host_age	host_age_units	host_body_habitat	host_body_mass_index	host_body_product	host_body_site	host_common_name	host_height	host_height_units	host_life_stage	host_scientific_name	host_subject_id	host_taxid	host_weight	host_weight_units	latitude	liver_weight	longitude	physical_specimen_location	physical_specimen_remaining	qiita_study_id	sample_type	scientific_name	sex	sick	surger_bw	taxon_id	title	treatment_one	treatment_two
13052.AF11TP0	unknown	Not applicable	AF11TP0		2017-05-23 11:35	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	0	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF11	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF11TP7	unknown	Not applicable	AF11TP7		2017-05-23 11:36	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF11	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF12TP0	unknown	Not applicable	AF12TP0		2017-05-23 11:37	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	0	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF12	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF12TP7	unknown	Not applicable	AF12TP7		2017-05-23 11:38	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF12	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF1CTP0	unknown	Not applicable	AF1CTP0		2017-05-23 11:30	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	0	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF1	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF1CTP7	unknown	Not applicable	AF1CTP7		2017-05-23 11:31	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF1	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF2CTP7	unknown	Not applicable	AF2CTP7		2017-05-23 11:32	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF2	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF41TP7	unknown	Not applicable	AF41TP7		2017-05-23 11:39	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF41	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF42TP7	unknown	Not applicable	AF42TP7		2017-05-23 11:40	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF42	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF4CTP0	unknown	Not applicable	AF4CTP0		2017-05-23 11:33	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	0	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF4	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.AF4CTP7	unknown	Not applicable	AF4CTP7		2017-05-23 11:34	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	AF4	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Alcohol	Etoh-Cultivation
13052.RF21TP0	unknown	Not applicable	RF21TP0		2017-05-23 11:45	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	0	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	RF21	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Glucose	Etoh-Cultivation
13052.RF21TP7	unknown	Not applicable	RF21TP7		2017-05-23 11:46	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	RF21	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Glucose	Etoh-Cultivation
13052.RF22TP0	unknown	Not applicable	RF22TP0		2017-05-23 11:47	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	0	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	RF22	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Glucose	Etoh-Cultivation
13052.RF22TP7	unknown	Not applicable	RF22TP7		2017-05-23 11:48	mouse-ald-gta	TRUE	193	Host-associated	Animal	Animal distal gut	urban biome	animal-associated habitat	intestine environment	host-associated	USA:CA:San Diego	unknown	7	days	UBERON:gastrointestinal system	Not applicable	UBERON:lumen of gut	UBERON:cecum	mouse	Not applicable	Not applicable	adult	Mus musculus	RF22	10090	unknown	g	32.5	unknown	-117.25	UCSDMI	FALSE	13052	cecum content	mouse gut metagenome	male	FALSE	unknown	410661	KZALD	Glucose	Etoh-Cultivation
